 JULDAY,   TIME,    DE1,    DE2,    DE3,    DE4,    DE5,    DE6,    DE7,    DE8,    DE9,   DE10
135.,    240.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1625.85,   1627.00
135.,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1622.63,   1624.01
135.,    360.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1619.89,   1621.60
135.,    420.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1617.54,   1619.53
135.,    480.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1615.28,   1617.66
135.,    540.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1613.06,   1615.89
135.,    600.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1610.67,   1614.14
135.,    660.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1608.06,   1612.35
135.,    720.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1604.12,   1610.25
135.,    780.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1601.26,   1608.12
135.,    840.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1598.58,   1606.10
135.,    900.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1596.59,   1604.26
135.,    960.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1594.99,   1602.63
135.,   1020.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1593.70,   1601.20
135.,   1080.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1592.70,   1599.95
135.,   1140.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1591.98,   1598.86
135.,   1200.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1591.55,   1597.95
135.,   1260.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1591.39,   1597.21
135.,   1320.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1591.15,   1596.59
135.,   1380.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1591.04,   1596.06
166.,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1590.81,   1595.20
166.,     60.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1644.78,   1638.93
166.,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1631.32,   1630.91
166.,    180.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1625.23,   1626.07
166.,    240.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1621.60,   1622.82
166.,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1618.93,   1620.41
166.,    360.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1616.63,   1618.44
166.,    420.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1614.56,   1616.72
166.,    480.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1612.52,   1615.12
166.,    540.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1610.46,   1613.58
166.,    600.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1608.19,   1612.01
166.,    660.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1605.66,   1610.36
166.,    720.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1602.35,   1608.51
166.,    780.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1598.80,   1606.46
166.,    840.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1596.51,   1604.51
166.,    900.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1594.75,   1602.80
166.,    960.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1593.23,   1601.28
166.,   1020.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1592.00,   1599.94
166.,   1080.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1591.07,   1598.76
166.,   1140.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1590.50,   1597.76
166.,   1200.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1590.03,   1596.90
166.,   1260.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1590.12,   1596.23
166.,   1320.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1589.88,   1595.68
166.,   1380.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1590.05,   1595.24
196.,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1590.04,   1594.53
196.,     60.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1644.17,   1638.42
196.,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1630.75,   1630.44
196.,    180.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1624.71,   1625.65
196.,    240.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1621.18,   1622.46
196.,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1618.59,   1620.12
196.,    360.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1616.31,   1618.20
196.,    420.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1614.26,   1616.51
196.,    480.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1612.19,   1614.93
196.,    540.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1610.08,   1613.39
196.,    600.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1607.71,   1611.81
196.,    660.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1605.08,   1610.13
196.,    720.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1600.89,   1608.10
196.,    780.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1598.04,   1606.02
