 JULDAY,   TIME,    CD1,    CD2,    CD3,    CD4,    CD5,    CD6,    CD7,    CD8,    CD9,   CD10
105.,   1260.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.22
105.,   1320.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.22
105.,   1380.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.22
135.,      0.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.23
135.,     60.00,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.26
135.,    120.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26
135.,    180.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
135.,    240.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
135.,    300.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
135.,    360.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
135.,    420.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
135.,    480.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
135.,    540.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
135.,    600.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
135.,    660.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
135.,    720.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.25
135.,    780.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.25
135.,    840.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.25
135.,    900.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.24
135.,    960.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.24
135.,   1020.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.24
135.,   1080.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.24
135.,   1140.00,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.23
135.,   1200.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.23
135.,   1260.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.23
135.,   1320.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.23
135.,   1380.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.22
166.,      0.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.23
166.,     60.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26
166.,    120.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26
166.,    180.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
166.,    240.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
166.,    300.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
166.,    360.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
166.,    420.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
166.,    480.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
166.,    540.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
166.,    600.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
166.,    660.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
166.,    720.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.25
166.,    780.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.25
166.,    840.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.25
166.,    900.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.25
166.,    960.00,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.24
166.,   1020.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.24
166.,   1080.00,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.24
166.,   1140.00,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.24
166.,   1200.00,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.23
166.,   1260.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.23
166.,   1320.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.23
166.,   1380.00,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.23
196.,      0.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.23
196.,     60.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26
196.,    120.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26
196.,    180.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26
196.,    240.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
196.,    300.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
196.,    360.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
196.,    420.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
196.,    480.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
196.,    540.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26
196.,    600.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26
196.,    660.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26
196.,    720.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.26
196.,    780.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.25
196.,    840.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.25
196.,    900.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.25
196.,    960.00,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.25
196.,   1020.00,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.24
196.,   1080.00,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.24
196.,   1140.00,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.24
196.,   1200.00,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.14,      0.23
196.,   1260.00,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.23
196.,   1320.00,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.23
196.,   1380.00,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.23
227.,      0.00,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.23
227.,     60.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26
227.,    120.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26
227.,    180.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
227.,    240.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
227.,    300.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
227.,    360.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
227.,    420.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
227.,    480.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
227.,    540.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
227.,    600.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26
227.,    660.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26
227.,    720.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.25
227.,    780.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.25
227.,    840.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.25
227.,    900.00,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.19,      0.25
227.,    960.00,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.25
227.,   1020.00,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.24
227.,   1080.00,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.24
227.,   1140.00,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.15,      0.24
227.,   1200.00,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.23
227.,   1260.00,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.16,      0.23
227.,   1320.00,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.23
227.,   1380.00,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.17,      0.23
258.,      0.00,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.18,      0.23
258.,     60.00,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.26
258.,    120.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26
258.,    180.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26
258.,    240.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
258.,    300.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
258.,    360.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
258.,    420.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
258.,    480.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
258.,    540.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
258.,    600.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
258.,    660.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
258.,    720.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
258.,    780.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.25
258.,    840.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.25
258.,    900.00,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.25
258.,    960.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.24
258.,   1020.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.24
258.,   1080.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.24
258.,   1140.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.23
258.,   1200.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.23
258.,   1260.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.23
258.,   1320.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.23
258.,   1380.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.23
288.,      0.00,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.23
288.,     60.00,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27
288.,    120.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26
288.,    180.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26
288.,    240.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
288.,    300.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
288.,    360.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
288.,    420.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
288.,    480.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
288.,    540.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
288.,    600.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
288.,    660.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
288.,    720.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
288.,    780.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
288.,    840.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.25
288.,    900.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.25
288.,    960.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.24
288.,   1020.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.24
